Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
100000039,AL RAWABI FRESH MILK FULL CREAM 2 LTR,6291030200025,12.08,12.5,3.40%,4,Fresh Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000044,AL RAWABI FRSH MILK FULL CRM 250ML,6291030200056,1.87,1.99,6.08%,25,Fresh Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000047,AL RAWABI FRESH MILK LOW FAT 2LTR,6291030201022,12.08,12.5,3.40%,1,Fresh Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000050,AL RAWABI ORANGE JUICE 200 ML,6291030100073,1.81,2.25,19.73%,2,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000065,AL RAWABI MANGO JUICE 200ML,6291030101063,1.94,2.25,13.67%,3,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000073,AL RAWABI STRAWBERRY MILK 200 ML,6291030500064,1.63,1.95,16.54%,8,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000075,AL RAWABI STRAWBERRY MILK 500ML,6291030500040,3.32,3.75,11.52%,5,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000080,AL RAWABI CHOCOLATE MILK 500ML,6291030501016,3.32,3.75,11.52%,1,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000082,AL RAWABI CHCOLATE MILK 200ML,6291030501023,1.63,1.95,16.54%,4,Flavoured Milk,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000085,AL RAWABI NUTREE BOOST S/BERRY OATS 200ML,6291030506028,2.11,2.25,6.21%,3,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000087,AL RAWABI NUTREE BOOST ORANGE 200ML,6291030506011,2.11,2.95,28.46%,2,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000098,AL RAWABI FULL CREAM YOGHURT 1KG,6291030400241,6.94,7.5,7.46%,7,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000099,AL RAWABI FULL CREAM YOGHURT 400GM,6291030400142,3.14,3.5,10.30%,12,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000101,AL RAWABI FULL CREAM YOGHURT 170GM,6291030400029,1.21,1.5,19.50%,24,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000102,AL RAWABI FULL CREAM YOGHURT 90GM,6291030400340,0.9,1.25,27.76%,16,Plain Yoghurt,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000121,AL RAWABI LEMON JUICE 200ML,6291030108062,1.86,2.25,17.41%,1,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000126,AL RAWABI RED GRAPE JUICE 200ML,6291030109052,1.81,2.25,19.73%,1,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000130,AL RAWABI GUAVA JUICE 200ML,6291030100677,1.95,2.25,13.20%,1,Fresh Juice Assorted,AL RAWABI DAIRY COMPANY L.L.C,AL RAWABI
100000135,"FOOD PACK FOAM PLATE 10"" /25PCS",6291045825671,4.73,6.95,32.01%,31,Plates & Trays,AL AREEN TRADING CO. (L.L.C),FOOD PACK
100000136,"FOOD PACK FOAM DIVIDER 10"" 25PCS",6291044425940,4.2,5.25,20.00%,19,Plates & Trays,AL AREEN TRADING CO. (L.L.C),FOOD PACK
100000138,"FOOD PACK FOAM PLATE 9"" 25PCS",6291047525722,4.46,5.95,25.00%,19,Plates & Trays,AL AREEN TRADING CO. (L.L.C),AL AREEN
100000165,FOOD PACK PLASTIC SPOON BIG 50PCS,4560125988981,1.58,2.25,30.00%,63,Disposable Cutlery,AL AREEN TRADING CO. (L.L.C),FOOD PACK
100000167,FOOD PACK PLASTIC FORK 50 PCS,4560125988998,1.58,2.25,30.00%,28,Disposable Cutlery,AL AREEN TRADING CO. (L.L.C),FOOD PACK
100000218,AL AREEN VINYL GLOVES ALL SIZE,500149225918,7.88,10.95,28.08%,4,Gloves,AL AREEN TRADING CO. (L.L.C),AL AREEN
100000516,SAPIL MENS SOLID 100ML 917U EDT,6295124001611,29.58,35.0,15.50%,5,Eau De Toilette – Men,ALPHAMED GENERAL TRADING LLC,SAPIL
100000526,SAPIL NICE FEELING BLACK FOR MEN 75ML EDT,6295124000690,10.65,38.95,72.66%,12,Eau De Toilette – Men,ALPHAMED GENERAL TRADING LLC,SAPIL
100000554,SAPIL CHICHI DEO 200ML,6295124000331,9.35,16.5,43.32%,8,Ladies Deodrant,ALPHAMED GENERAL TRADING LLC,SAPIL
100000557,SAPIL DISCLOSURE M 200ML U,6295124000287,12.75,14.95,14.74%,4,Mens Deodorants,ALPHAMED GENERAL TRADING LLC,SAPIL
100000561,SAPIL NICE FEELINGS BLACK 200ML,6295124004803,8.93,9.99,10.66%,7,Mens Deodorants,ALPHAMED GENERAL TRADING LLC,SAPIL
100000568,SAPIL SOLID 200ML DEO,6295124004797,8.93,15.9999,44.22%,-1,Mens Deodorants,ALPHAMED GENERAL TRADING LLC,SAPIL
100000577,SHIRLEY AL BKHOOR 219 100ML,6295124001598,5.05,6.95,27.32%,23,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000579,SHIRLEY ATTAR FUL 439 100ML EDT,6295124004421,5.05,6.95,27.38%,14,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000580,SHIRLEY CLASSIC JASMIN 497 100ML,6295124003714,4.98,7.5,33.57%,22,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000581,SHIRLEY FAWAKEH 219 100ML,6295124002939,5.55,9.95,44.22%,2,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000583,SHIRLEY KLSM GOLD 439 100ML,6295124000539,5.08,9.95,48.97%,7,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000584,SHIRLEY KULSOOM 439 100ML,6295124001451,5.4,9.95,45.71%,1,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000585,SHIRLEY MUSK 219 100ML EDT,6295124001604,5.3,8.95,40.79%,2,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000593,SHIRLEY BLACK CAR 491 100ML,6295124001888,5.93,8.95,33.70%,1,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000599,SHIRLEY CROSS 442 100ML,6295124001468,4.73,5.775,18.18%,1,Eau De Toilette – Un,ALPHAMED GENERAL TRADING LLC,SHIRLEY MAY
100000700,JG MENS BRIEF COLOR 3 PC M,8113520124568,22.26,26.5,16.00%,4,Mens Briefs,BUTTERFLY LLC,JG
100000703,JG MENS BRIEF COLOR 3 PC OE-XL,8113520124704,22.26,26.5,16.00%,3,Mens Briefs,BUTTERFLY LLC,JG
100000705,JG MENS BRIEF COLOR 3 PC OE-XXL,8113520124872,22.26,26.5,16.00%,4,Mens Briefs,BUTTERFLY LLC,JG
100000791,JG MENS SOCKS  JGMS-01 PLN,4901810045716,6.3,8.5,25.88%,23,MENS SOCKS,BUTTERFLY LLC,JG
100001051,TASTY FOOD FENUGREEK POWDER 100 GM,6291104190962,2.1,2.625,20.00%,11,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001055,TASTY FOOD RICE POWDR 500 GM,6291104191099,3.28,4.25,22.92%,13,RICE POWDER,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001058,TASTY FOOD FENUGREEK SEED (METHI)100 GM,6291104190979,1.68,2.5001,32.93%,31,Seeds_01022005,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001061,TASTY FOOD GARAM MASALA POWDER 100GM,6291104190825,3.29,3.95,16.61%,29,G Masalas,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001064,TASTY FOOD SAGO SEED 200 GM,6291104190009,3.04,3.75,18.80%,18,Seeds_01022005,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001066,TASTY FOOD GARAM MASALA WHOLE 100GM,6291104190832,5.46,6.5,16.00%,126,G Masalas,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001076,TASTY FOOD GINGER POWDER 100 GM,6291104191334,3.76,4.5,16.39%,24,G Masalas,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001077,TASTY FOOD AJWAN SEED 100GM,6291104190498,3.77,4.5,16.15%,33,Seeds_01022005,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001080,TASTY FOOD ANARDHANA 100GM,6291104192072,4.09,4.95,17.31%,25,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001083,TASTY FOOD ARABIC MASALA 200GM,6291104192218,7.25,8.5,14.76%,17,Pulses_01022001,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001085,TASTY FOOD CHAKKI FRESH ATTA 1 KG,6291104193086,5.18,6.5,20.28%,10,FLOUR,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001086,TASTY FOOD CHAKKI FRESH ATTA 2 KG,101010101012,9.97,11.5,13.29%,11,FLOUR,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001088,TASTY FOOD MIX MASALA POWDER 200GM,6291104190986,4.13,5.5,24.87%,13,G Masalas,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001092,TASTY FOOD  SEMOLNA 500 GM,6291104191112,3.94,4.75,17.11%,15,SEMOLINA - RAVA,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001096,TASTY FOOD  SEMOLINA 1KG,6291104191471,6.56,8.0,17.97%,13,SEMOLINA - RAVA,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001104,TASTY FOOD BLACK PEPPER POWDER 100GM,6291104190559,6.51,7.95,18.11%,32,Pepper,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001105,TASTY FOOD MUSTARD SEED 100 GM,6291104191037,1.88,2.25,16.45%,20,Seeds_01022005,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001108,TASTY FOOD BLACK PEPPER WHOLE 100 GM,6291104190566,6.55,7.95,17.66%,43,Pepper,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001110,TASTY FOOD BLACK SALT 100GM,6291104190573,2.57,3.25,20.95%,25,Salt,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001120,TASTY FOOD JEERA CUMIN POWDER 100 GM,6291104190870,4.36,5.5,20.77%,32,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001126,TASTY FOOD SOYA VADI 200 GM,6291104191990,3.68,4.75,22.63%,2,Indian,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001134,TASTY FOOD KASHMIR CHILLI POWDER 200GM,6291104192423,8.41,9.95,15.47%,19,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001136,TASTY FOOD CHILLY POWDER 200GM,6291104190641,5.78,6.95,16.90%,2,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001140,TASTY FOOD CHILLY POWDER 400GM,6291104190658,11.45,12.99,11.86%,20,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001147,TASTY FOOD  TURMERIC POWDER 400GM,6291104191143,7.16,8.95,20.01%,21,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001152,TASTY FOOD JEERA CUMIN SEED WHOLE 100GM,6291104190887,4.36,5.5,20.77%,63,Seeds_01022005,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001153,TASTY FOOD JEERA CUMIN SEED WHOLE 200GM,6291104191365,8.56,10.0,14.43%,22,Spices_01022002,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001154,TASTY FOOD GRM FLOUR (BESAN)POWDER 500GM,6291104191235,3.94,5.25,25.00%,32,FLOUR,AL SAIEE GENERAL TR .LLC - S P,TASTY FOOD
100001169,NESTLE COFFEE MATE ORIGINAL 170GM,8850124019967,8.79,8.99,2.19%,6,Non Diary Creamers,SWEET GARDEN GENERAL TRADING CO. LLC (NESTLE),NESTLE 
100001171,COFFEEMATE COFFEE CREAMER ORIGINAL 400GM,8850124020000,10.24,13.0001,21.21%,27,Non Diary Creamers,SWEET GARDEN GENERAL TRADING CO. LLC (NESTLE),NESTLE 
100001182,NESTLE CREAM 160GM,7891000040874,3.4,5.75,40.79%,52,Condensed Sweetened Milk,SWEET GARDEN GENERAL TRADING CO. LLC (NESTLE),NESTLE 
100001239,MAGGI REAL COCONUT MILK POWDER 300 GM,4792024009171,11.41,13.5,15.47%,6,COCONUT MILK,SWEET GARDEN GENERAL TRADING CO. LLC (NESTLE),NESTLE 
100001257,NESTLE KITKAT 4 FINGERS 41.5 GM,6294003532987,2.04,2.0,-2.08%,0,Covered Choco Bars & Tab,SWEET GARDEN GENERAL TRADING CO. LLC (NESTLE),NESTLE 
100001298,FALCON DELUX FALCON MUG 10,6294009301853,7.35,10.0,26.50%,12,Mugs,AL SAFI TRADING COMPANY LLC,FALCON
100001301,FALCON DELUX FALCON MUG 8,6294009301884,5.25,8.0,34.37%,7,Mugs,AL SAFI TRADING COMPANY LLC,FALCON
100001302,FALCON DELUX FALCON MUG 9,6294009301891,6.3,8.5,25.88%,11,Mugs,AL SAFI TRADING COMPANY LLC,FALCON
100001310,FALCON BASTING SPOON NO.3,6294009301976,2.89,3.95,26.90%,3,SPOON,AL SAFI TRADING COMPANY LLC,FALCON
100001325,FALCON 5PC C/B SAUCE PAN NO:3,6294009300337,23.1,29.0,20.34%,4,Fryers / Pans,AL SAFI TRADING COMPANY LLC,FALCON
100001326,FALCON 5PC C/B SAUCE PAN NO:4,6294009300344,26.25,36.0,27.08%,5,Fryers / Pans,AL SAFI TRADING COMPANY LLC,FALCON
100001370,COMFORT SPRING DEW SKY NEW 1LTR,6281006100169,7.48,9.0,16.91%,28,Liquids & Concentrates,AL GURG DISTRIBUTION L.L.C,COMFORT
100001373,COMFORT SPRING DEW NEW SKY BLUE 2 LTR,6281006100183,13.45,18.9998,29.18%,2,Liquids & Concentrates,AL GURG DISTRIBUTION L.L.C,COMFORT
100001375,COMFORT FLORA SOFT PINK 2 LTR,6281006100220,13.38,16.5,18.93%,4,Liquids & Concentrates,AL GURG DISTRIBUTION L.L.C,COMFORT
100001408,JIF LAC LEMON AIR 500 ML,6281006100060,8.18,10.4475,21.67%,3,Cleaning Creams & Liquids,AL GURG DISTRIBUTION L.L.C,JIF
100001430,DOVE WHITE SOAP 135GM,6281006473645,3.81,4.45,14.39%,4,Bath Soaps,AL GURG DISTRIBUTION L.L.C,DOVE
100001440,LIFEBUOY SOAP NATURE 125 GM,6281006472754,4.25,4.725,10.00%,0,Bath Soaps,AL GURG DISTRIBUTION L.L.C,LIFEBUOY
100001475,LUX PW BAR MAGICAL BEAUTY 175 GM,6281006477315,1.9,3.9375,51.67%,0,Bath Soaps,AL GURG DISTRIBUTION L.L.C,LUX
100001500,ALOKOZAY BLACK TEA BAG 100 S,6291101130022,9.45,10.95,13.73%,1,Black Tea,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001509,ALOKOZAY GREEN TEA BAG 100S,6291101130152,9.99,12.5,20.08%,34,GREEN TEA,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001513,ALOKOZAY GREEN TEA 50GMX25 TEA  BAGS,6291101131326,7.14,8.9502,20.23%,3,GREEN TEA,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001519,ALOKOZAY LMON TEA 25S,6291101130954,7.14,8.95,20.22%,9,FLAVOURED TEA,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001523,ALOKOZAY CARDAMOM TEA BAG 25S,6291101131012,7.14,8.95,20.22%,4,FLAVOURED TEA,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001525,ALOKOZAY MINT TEA 25S,6291101131036,7.14,8.95,20.22%,6,FLAVOURED TEA,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001542,ALOKOZAY LOSE TEA CTC 210GM,6291101130176,7.09,8.5,16.62%,6,Black Tea,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001543,ALOKOZAY LOSE TEA CTC 420GM,6291101130183,11.55,13.5,14.44%,5,Black Tea,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001544,ALOKOZAY LOSE TEA CTC 850GM,6291101131180,14.2,33.5,57.62%,12,Black Tea,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001546,ALOKOZAY GREEN TEA 225GM,6291101130640,8.4,10.5,20.00%,10,GREEN TEA,ALOKOZAY GENERAL TRADING LLC,ALOKOZAY
100001613,DOVE PINK BEAUTY CREAM 150ML,6281006403444,7.49,9.5,21.15%,87,Body Cream,AL GURG DISTRIBUTION L.L.C,DOVE
100001657,ESSE SILVER,8801116001927,16.06,17.0,5.50%,10,CIGARETTE,AL WALI TRADING CO LLC,ESSE
100001671,GLOW&LOVELY MULTI VITAMIN 100GM,6281006566989,12.7,15.95,20.38%,94,Face Cream & Lotion,AL GURG DISTRIBUTION L.L.C,GLOW & LOVELY
100001692,PONDS DREAM FLOWER TALC 200 GM,8901030003707,4.08,5.5,25.78%,28,Talcum Powder,GULF TRADING & REFRIGERATING CO (L L C),PONDS
100001693,PONDS DREAM FLOWER TALC 400 GM,8901030003677,7.86,9.95,20.98%,2,Talcum Powder,GULF TRADING & REFRIGERATING CO (L L C),PONDS
100001720,PONDS AGE DEFENSE CREAM 50ML,6281006404137,36.85,41.5,11.21%,1,Face Cream & Lotion,AL GURG DISTRIBUTION L.L.C,PONDS
100001721,PONDS AGE DEFENSE CREAM 50 ML,6281006404144,29.75,34.95,14.88%,10,Face Care Whiteners,AL GURG DISTRIBUTION L.L.C,PONDS
100001839,VASELINE HAIR TONIC 100ML,6281006450158,6.55,8.5,22.98%,29,Hair Oils,AL GURG DISTRIBUTION L.L.C,VASELINE
100001846,VASELINE HAIR TONIC 200 ML,6281006450172,9.88,11.9501,17.35%,42,Hair Oils,AL GURG DISTRIBUTION L.L.C,VASELINE
100001853,VASELINE HAIR TONIC 300 ML,6281006450196,13.22,15.95,17.12%,14,Hair Oils,AL GURG DISTRIBUTION L.L.C,VASELINE
100001868,CLOSE UP MENTHOL CHILL TOOTHPASTE 50ML,6281006411104,3.12,5.9504,47.64%,71,Toothpaste & Tooth powder,AL GURG DISTRIBUTION L.L.C,CLOSE UP
100001875,CLOSE UP RED HOT TOOTHPASTE 50 ML,6281006411128,3.39,5.95,43.09%,1,Toothpaste & Tooth powder,AL GURG DISTRIBUTION L.L.C,CLOSE UP
100001911,SUNSILK SHAMPOO SHINE&STRONG 400ML,6281006424388,9.69,12.0005,19.25%,12,Shampoo,AL GURG DISTRIBUTION L.L.C,SUNSILK
100001912,SUNSILK SHAMPOO SOFT & SMOOTH 400ML-,6281006424449,9.91,12.5,20.74%,11,Shampoo,AL GURG DISTRIBUTION L.L.C,SUNSILK
100002007,DOVE PINK BEAUTY CREAM 250ML,6281006403475,10.32,12.95,20.31%,97,Body Cream,AL GURG DISTRIBUTION L.L.C,DOVE
100002050,AQUAFINA MINERAL WATER 1.5LTR,012000002090,1.11,1.5,26.12%,-1,Mineral/Spring Water,DUBAI REFRESHMENT(P.J.S.C),AQUAFINA
100002055,PEPSI 500ML BOTTLE,012000801754,3.1,3.5,11.42%,49,Cola Bottle,DUBAI REFRESHMENT(P.J.S.C),PEPSI
100002059,MOUNTAIN DEW 500ML,012000803857,3.1,3.5,11.42%,60,Cola Bottle,DUBAI REFRESHMENT(P.J.S.C),MOUNTAIN DEW 
100002060,7UP 500 ML BOTTLE,012000108037,3.1,3.5,11.42%,48,Cola Bottle,DUBAI REFRESHMENT(P.J.S.C),7UP 
100002064,MOUNTAIN DEW PET BOTTLE 1LTR,012000002977,4.29,4.725,9.26%,0,Cola Bottle,DUBAI REFRESHMENT(P.J.S.C),MOUNTAIN DEW 
100002066,NEZO SALT FINE BLUE 1KG,87158069,2.77,3.75,26.22%,-18,Salt,M.H. ENTERPRISES (L.L.C.),NEZO
100002067,NEZO SALT BOTTLE BLUE 600GM,87158113,3.89,4.5,13.61%,11,Salt,M.H. ENTERPRISES (L.L.C.),NEZO
100002069,NEZO SALT BOTTLE RED 600GM,87158304,3.96,6.25,36.69%,19,Salt,M.H. ENTERPRISES (L.L.C.),NEZO
100002070,CBC COCONUT OIL 680GM,8888011050052,8.71,10.95,20.46%,2,Coconut Oil,M.H. ENTERPRISES (L.L.C.),CBC
100002103,MARA CHICK PEAS 400GM,8000066447162,2.04,2.95,30.91%,75,Canned Baked Beans,ALIA MOHAMMED TRADING CO .LLC,MARA
100002104,MARA GREEN PEAS 400GM,8000066447353,1.78,2.5001,28.81%,23,Canned Peas,ALIA MOHAMMED TRADING CO .LLC,MARA
100002108,MARA RED KIDNEY BEANS 400GM,8000066447346,2.29,2.75,16.61%,97,Canned Baked Beans,ALIA MOHAMMED TRADING CO .LLC,MARA
100002349,FALCON HALWA PLATE S/S NO.8,6294009302317,5.25,8.0,34.37%,12,Plates,AL SAFI TRADING COMPANY LLC,FALCON
100002398,FALCON MUKTA VATTI NO.8,6294009302768,5.78,8.0,27.81%,8,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002514,FALCON SOUP PLATE NO. 8,6294009303796,4.2,6.5,35.38%,15,Plates,AL SAFI TRADING COMPANY LLC,FALCON
100002515,FALCON SOUP PLATE NO. 9,6294009303802,5.25,7.35,28.57%,10,Plates,AL SAFI TRADING COMPANY LLC,FALCON
100002536,FALCON THALI BEEDED NO.11,6294009304328,7.88,11.0,28.41%,18,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002538,FALCON THALI BEEDED NO.12,6294009304335,8.93,12.0,25.63%,4,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002539,FALCON THALI BEEDED NO.13,6294009304342,9.98,14.0,28.75%,2,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002542,FALCON THALI PATTI NO. 11,6294009304359,8.4,12.0,30.00%,14,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002545,FALCON THALI PATTI NO.13,6294009304373,10.5,14.0,25.00%,2,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002546,FALCON THALI SADA NO.11,6294009304397,8.4,12.0,30.00%,5,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002548,FALCON THALI SADA NO.12,6294009304403,9.45,12.95,27.03%,1,Steel Utensils,AL SAFI TRADING COMPANY LLC,FALCON
100002593,FALCON PATTI GLASS MEDIUM,6294009302898,2.36,4.75,50.26%,3,Glasses,AL SAFI TRADING COMPANY LLC,FALCON
100002601,RAJ GLASS FRESCA LEMON STGF01,6291101407162,3.68,6.5,43.46%,10,Glasses,KHIARA STORE L.L.C,RAJ
100002607,RAJ S/T GLASS KHAJUR,6291101406028,3.15,4.5,30.00%,7,Glasses,KHIARA STORE L.L.C,RAJ
100002616,RAJ SILVER TOUCH GLASS/MINI FLOWER,6291101406103,2.36,3.5,32.50%,5,Glasses,KHIARA STORE L.L.C,RAJ
100002617,RAJ SILVER TOUCH GLASS FLOWER,6291101407834,3.15,4.95,36.36%,6,Glasses,KHIARA STORE L.L.C,RAJ
100002623,RAJ LIGHT WEIGH GLASS,6291101400156,2.62,3.7496,29.99%,3,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002628,RAJ SILVER TOUCH MUG 8,6291101403409,3.15,4.75,33.68%,1,Buckets&Mugs,KHIARA STORE L.L.C,RAJ
100002631,RAJ  RICE PLATE 9,6291101404048,5.25,7.5,30.00%,8,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002646,RAJ RICE SPOON PANJA DLX 2,6291101400026,2.89,4.25,32.06%,3,SPOON,KHIARA STORE L.L.C,RAJ
100002647,RAJ RICE SPOON PANJA DLX 4,6291101404017,3.67,6.5,43.46%,3,SPOON,KHIARA STORE L.L.C,RAJ
100002649,RAJ SILVER TOUCH MUG 9,6291101403416,3.68,5.25,30.00%,6,Mugs,KHIARA STORE L.L.C,RAJ
100002652,ACTION STEEL CHILLY & VEG CUTTER,8906017721025,12.6,18.0,30.00%,2,Tools & Hardware,KHIARA STORE L.L.C,ACTION STEEL
100002653,RAJ  RICE SPOON SADA DLX 4,6291101406950,3.68,4.5,18.33%,9,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002654,RAJ SILVER TOUCH MUG 10,6291101403423,4.2,6.0,30.00%,2,Mugs,KHIARA STORE L.L.C,RAJ
100002658,RAJ SILVER TOUCH MUG 11,6291101403430,5.25,6.4995,19.22%,5,Mugs,KHIARA STORE L.L.C,RAJ
100002667,ACTION POPULAR PEELERS,8906017722169,2.36,3.95,40.19%,4,Cutlery,KHIARA STORE L.L.C,ACTION
100002674,RAJ K.K IDDLY POT M,6291101403065,71.4,80.0,10.75%,2,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002683,RAJ KK IDDLY POT S,6291101401627,54.6,69.0,20.87%,1,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002696,RAJ SUPARI CUTTER 7 SC0007,6291101404277,21.0,28.0,25.00%,6,Utensils,KHIARA STORE L.L.C,RAJ
100002704,KHIARA STEEL MORTAR 3,6291101403614,15.75,22.5,30.00%,4,Steel Utensils,KHIARA STORE L.L.C,KHIARA
100002706,RAJ STEEL MORTAR 5,6291101403638,21.0,28.0,25.00%,5,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002707,RAJ SOUP PLATE 9,6291101400385,4.46,6.95,35.79%,1,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002712,RAJ SOUP PLATE 12,6291101404086,7.35,11.55,36.36%,4,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002722,KAVIRAJ PUTTU KUTTY LARGE,6291101402426,29.4,34.5,14.78%,1,Utensils,KHIARA STORE L.L.C,KAVIRAJ
100002741,PAMPERS ACTIVE BABY CP MAX,4015400406488,9.8,16.275,39.79%,0,Baby Nappies,TRANSMED OVERSEAS INCORPORATED S.A,PAMPERS
100002765,RAJ MUKTA VATTI 6,6291101403270,3.41,5.5,37.95%,5,Utensils,KHIARA STORE L.L.C,RAJ
100002769,RAJ STEEL SEV MACHINE,6291101403171,18.37,24.5,25.00%,2,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002770,RAJ MUKTA VATTI 7,6291101403294,4.2,6.5,35.38%,6,Utensils,KHIARA STORE L.L.C,RAJ
100002774,RAJ SILVER TOUCH CHINA PLATE 9,6291101401368,5.25,7.5,30.00%,6,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002776,RAJ SILVER TOUCH CHINA PLATE 10,6291101401375,6.3,8.95,29.61%,3,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002782,RAJ STEEL COFFEE GLASS,6291101401238,2.62,3.7496,29.99%,2,Steel Utensils,KHIARA STORE L.L.C,RAJ
100002808,RAJ STEEL MUG DELUXE 9,6291101400491,6.3,9.0,30.00%,5,Utensils,KHIARA STORE L.L.C,RAJ
100002811,RAJ STEEL MUG DELUXE 10,6291101400507,7.87,12.0,34.38%,4,Utensils,KHIARA STORE L.L.C,RAJ
